year,county_fips,county_name,avg_annual_pay,avg_annual_weekly_wage,avg_monthly_rent
2024,37067,"Forsyth County, North Carolina","66,257","1,274",1491.5495249596586
2024,37069,"Franklin County, North Carolina","57,174","1,100",1838.4523725320307
2024,37071,"Gaston County, North Carolina","54,211","1,043",1623.4135110993145
2024,37073,"Gates County, North Carolina","44,429",854,
2024,37075,"Graham County, North Carolina","48,748",937,
2024,37077,"Granville County, North Carolina","59,314","1,141",
2024,37079,"Greene County, North Carolina","48,291",929,
2024,37081,"Guilford County, North Carolina","61,546","1,184",1401.2969625118578
2024,37083,"Halifax County, North Carolina","47,039",905,
2024,37085,"Harnett County, North Carolina","46,955",903,1780.6833604829535
2024,37087,"Haywood County, North Carolina","46,227",889,1523.1659705256259
2024,37089,"Henderson County, North Carolina","54,106","1,041",2055.7545374961633
2024,37091,"Hertford County, North Carolina","48,251",928,
2024,37093,"Hoke County, North Carolina","46,891",902,1663.4066286589768
2024,37095,"Hyde County, North Carolina","42,753",822,
2024,37097,"Iredell County, North Carolina","63,307","1,217",1699.939173262556
2024,37099,"Jackson County, North Carolina","48,540",933,1473.2276226989377
2024,37101,"Johnston County, North Carolina","55,305","1,064",1766.617128647167
2024,37103,"Jones County, North Carolina","48,166",926,
2024,37105,"Lee County, North Carolina","58,075","1,117",1720.2451062579532
2024,37107,"Lenoir County, North Carolina","50,091",963,
2024,37109,"Lincoln County, North Carolina","55,677","1,071",1581.4779052766046
2024,37111,"McDowell County, North Carolina","47,365",911,
2024,37113,"Macon County, North Carolina","46,461",893,
2024,37115,"Madison County, North Carolina","47,583",915,
2024,37117,"Martin County, North Carolina","38,562",742,
2024,37119,"Mecklenburg County, North Carolina","88,111","1,694",1736.7805784109062
2024,37121,"Mitchell County, North Carolina","48,859",940,
2024,37123,"Montgomery County, North Carolina","48,929",941,
2024,37125,"Moore County, North Carolina","54,059","1,040",1770.242730320397
2024,37127,"Nash County, North Carolina","54,440","1,047",1233.7336845129937
2024,37129,"New Hanover County, North Carolina","61,611","1,185",1694.8813387882858
2024,37131,"Northampton County, North Carolina","49,460",951,
2024,37133,"Onslow County, North Carolina","46,885",902,1416.7227830760964
