month_start_date,jurisdiction,filings_count,percent_of_historical_average
10/1/2022,Alamance,221,91.78
11/1/2022,Alamance,217,105.75
12/1/2022,Alamance,233,101.04
1/1/2023,Alamance,253,104.12
2/1/2023,Alamance,245,120.99
3/1/2023,Alamance,219,124.61
4/1/2023,Alamance,221,115.4
5/1/2023,Alamance,295,127.43
6/1/2023,Alamance,274,120.44
1/1/2020,New Hanover,299,98.52
2/1/2020,New Hanover,276,99.64
3/1/2020,New Hanover,165,71.04
4/1/2020,New Hanover,21,8.56
5/1/2020,New Hanover,57,21.41
6/1/2020,New Hanover,103,35.89
7/1/2020,New Hanover,163,55.1
8/1/2020,New Hanover,164,58.07
9/1/2020,New Hanover,190,75.7
10/1/2020,New Hanover,146,46.41
11/1/2020,New Hanover,91,34.16
12/1/2020,New Hanover,145,54.76
1/1/2021,New Hanover,119,39.21
2/1/2021,New Hanover,160,57.76
3/1/2021,New Hanover,130,55.97
4/1/2021,New Hanover,113,46.08
5/1/2021,New Hanover,102,38.31
6/1/2021,New Hanover,101,35.19
7/1/2021,New Hanover,159,53.75
8/1/2021,New Hanover,172,60.91
9/1/2021,New Hanover,197,78.49
10/1/2021,New Hanover,187,59.44
11/1/2021,New Hanover,196,73.57
12/1/2021,New Hanover,187,70.62
1/1/2022,New Hanover,216,71.17
2/1/2022,New Hanover,211,76.17
3/1/2022,New Hanover,199,85.68
4/1/2022,New Hanover,196,79.92
5/1/2022,New Hanover,239,89.77
6/1/2022,New Hanover,293,102.09
7/1/2022,New Hanover,232,78.43
8/1/2022,New Hanover,306,108.36
9/1/2022,New Hanover,237,94.42
10/1/2022,New Hanover,296,94.09
11/1/2022,New Hanover,259,97.22
12/1/2022,New Hanover,301,113.67
1/1/2023,New Hanover,254,83.69
2/1/2023,New Hanover,279,100.72
3/1/2023,New Hanover,209,89.99
4/1/2023,New Hanover,231,94.19
5/1/2023,New Hanover,288,108.17
6/1/2023,New Hanover,267,93.03
1/1/2020,Edgecombe,269,94.22
2/1/2020,Edgecombe,224,91.43
3/1/2020,Edgecombe,48,25.74
4/1/2020,Edgecombe,4,1.71
5/1/2020,Edgecombe,19,7.42
6/1/2020,Edgecombe,32,11.54
7/1/2020,Edgecombe,219,83.27
8/1/2020,Edgecombe,160,56.66
9/1/2020,Edgecombe,155,54.04
10/1/2020,Edgecombe,142,54.24
11/1/2020,Edgecombe,78,32.66
12/1/2020,Edgecombe,25,10.04
1/1/2021,Edgecombe,29,10.16
2/1/2021,Edgecombe,33,13.47
3/1/2021,Edgecombe,24,12.87
4/1/2021,Edgecombe,16,6.86
5/1/2021,Edgecombe,21,8.2
6/1/2021,Edgecombe,29,10.46
7/1/2021,Edgecombe,85,32.32
8/1/2021,Edgecombe,87,30.81
9/1/2021,Edgecombe,104,36.26
10/1/2021,Edgecombe,41,15.66
11/1/2021,Edgecombe,92,38.53
12/1/2021,Edgecombe,44,17.67
1/1/2022,Edgecombe,106,37.13
2/1/2022,Edgecombe,74,30.2
3/1/2022,Edgecombe,120,64.34
4/1/2022,Edgecombe,174,74.6
5/1/2022,Edgecombe,248,96.88
6/1/2022,Edgecombe,224,80.79
7/1/2022,Edgecombe,216,82.13
8/1/2022,Edgecombe,255,90.3
9/1/2022,Edgecombe,189,65.9
10/1/2022,Edgecombe,231,88.24
11/1/2022,Edgecombe,177,74.12
12/1/2022,Edgecombe,219,87.95
1/1/2023,Edgecombe,251,87.92
2/1/2023,Edgecombe,239,97.55
3/1/2023,Edgecombe,215,115.28
4/1/2023,Edgecombe,166,71.17
5/1/2023,Edgecombe,220,85.94
6/1/2023,Edgecombe,263,94.86
1/1/2020,Buncombe,231,115.64
2/1/2020,Buncombe,200,110.19
3/1/2020,Buncombe,90,57.32
4/1/2020,Buncombe,23,13.12
5/1/2020,Buncombe,49,25.16
6/1/2020,Buncombe,45,22.7
7/1/2020,Buncombe,102,49.04
8/1/2020,Buncombe,96,45.37
9/1/2020,Buncombe,105,55.32
10/1/2020,Buncombe,105,51.57
11/1/2020,Buncombe,84,48.5
12/1/2020,Buncombe,72,41.33
1/1/2021,Buncombe,41,20.53
2/1/2021,Buncombe,66,36.36
3/1/2021,Buncombe,84,53.5
4/1/2021,Buncombe,62,35.38
5/1/2021,Buncombe,57,29.27
6/1/2021,Buncombe,94,47.41
7/1/2021,Buncombe,112,53.85
8/1/2021,Buncombe,113,53.4
9/1/2021,Buncombe,116,61.12
10/1/2021,Buncombe,128,62.87
11/1/2021,Buncombe,131,75.64
12/1/2021,Buncombe,106,60.85
1/1/2022,Buncombe,114,57.07
2/1/2022,Buncombe,193,106.34
3/1/2022,Buncombe,137,87.26
4/1/2022,Buncombe,136,77.6
5/1/2022,Buncombe,150,77.02
6/1/2022,Buncombe,192,96.85
7/1/2022,Buncombe,149,71.63
8/1/2022,Buncombe,179,84.59
9/1/2022,Buncombe,191,100.63
10/1/2022,Buncombe,262,128.68
11/1/2022,Buncombe,215,124.13
12/1/2022,Buncombe,136,78.07
1/1/2023,Buncombe,254,127.16
2/1/2023,Buncombe,257,141.6
3/1/2023,Buncombe,199,126.75
4/1/2023,Buncombe,132,75.32
5/1/2023,Buncombe,220,112.97
6/1/2023,Buncombe,240,121.06
1/1/2020,Wilson,302,121.29
2/1/2020,Wilson,271,126.64
3/1/2020,Wilson,101,56.35
4/1/2020,Wilson,13,5.73
5/1/2020,Wilson,141,59.62
6/1/2020,Wilson,75,29.7
7/1/2020,Wilson,185,67.87
8/1/2020,Wilson,166,72.24
9/1/2020,Wilson,205,77.07
10/1/2020,Wilson,149,57.18
11/1/2020,Wilson,74,31.49
12/1/2020,Wilson,55,26.39
1/1/2021,Wilson,96,38.55
2/1/2021,Wilson,88,41.12
3/1/2021,Wilson,78,43.51
4/1/2021,Wilson,64,28.22
5/1/2021,Wilson,85,35.94
6/1/2021,Wilson,68,26.93
7/1/2021,Wilson,88,32.28
8/1/2021,Wilson,49,21.32
9/1/2021,Wilson,110,41.35
10/1/2021,Wilson,88,33.77
11/1/2021,Wilson,79,33.62
12/1/2021,Wilson,87,41.75
1/1/2022,Wilson,117,46.99
2/1/2022,Wilson,137,64.02
3/1/2022,Wilson,137,76.43
4/1/2022,Wilson,159,70.12
5/1/2022,Wilson,235,99.37
6/1/2022,Wilson,247,97.82
7/1/2022,Wilson,219,80.34
8/1/2022,Wilson,265,115.32
9/1/2022,Wilson,234,87.97
10/1/2022,Wilson,210,80.58
11/1/2022,Wilson,188,80
12/1/2022,Wilson,227,108.93
1/1/2023,Wilson,203,81.53
2/1/2023,Wilson,223,104.21
3/1/2023,Wilson,200,111.58
4/1/2023,Wilson,264,116.43
5/1/2023,Wilson,255,107.82
6/1/2023,Wilson,239,94.65
1/1/2020,Iredell,208,128.99
2/1/2020,Iredell,162,123.9
3/1/2020,Iredell,68,69.21
4/1/2020,Iredell,9,7.32
5/1/2020,Iredell,45,30.87
6/1/2020,Iredell,59,35.54
7/1/2020,Iredell,107,63.54
8/1/2020,Iredell,123,81.35
9/1/2020,Iredell,118,80.16
10/1/2020,Iredell,103,62.42
11/1/2020,Iredell,67,58.57
12/1/2020,Iredell,87,54.85
1/1/2021,Iredell,75,46.51
2/1/2021,Iredell,66,50.48
3/1/2021,Iredell,72,73.28
4/1/2021,Iredell,63,51.22
5/1/2021,Iredell,41,28.13
6/1/2021,Iredell,88,53.01
7/1/2021,Iredell,73,43.35
8/1/2021,Iredell,65,42.99
9/1/2021,Iredell,85,57.74
10/1/2021,Iredell,93,56.36
11/1/2021,Iredell,80,69.93
12/1/2021,Iredell,80,50.44
1/1/2022,Iredell,99,61.4
2/1/2022,Iredell,89,68.07
3/1/2022,Iredell,115,117.05
4/1/2022,Iredell,130,105.69
5/1/2022,Iredell,152,104.29
6/1/2022,Iredell,149,89.76
7/1/2022,Iredell,158,93.82
8/1/2022,Iredell,147,97.22
9/1/2022,Iredell,146,99.18
10/1/2022,Iredell,158,95.76
11/1/2022,Iredell,147,128.5
12/1/2022,Iredell,155,97.73
1/1/2023,Iredell,183,113.49
2/1/2023,Iredell,173,132.31
3/1/2023,Iredell,171,174.05
4/1/2023,Iredell,183,148.78
5/1/2023,Iredell,219,150.26
6/1/2023,Iredell,237,142.77
1/1/2020,Robeson,222,107.25
2/1/2020,Robeson,161,121.74
3/1/2020,Robeson,77,55.7
4/1/2020,Robeson,8,6.1
